.channel,radius,theta,phi,.x,.y,.z
Fp1,1,-90,-72,-0.31,0.95,0
Fpz,1,90,90,0,1,0
Fp2,1,90,72,0.31,0.95,0
F7,1,-90,-36,-0.81,0.59,0
F3,1,-60,-51,-0.55,0.67,0.5
Fz,1,45,90,0,0.71,0.71
F4,1,60,51,0.55,0.67,0.5
F8,1,90,36,0.81,0.59,0
FC5,1,-69,-21,-0.87,0.33,0.36
FC1,1,-31,-46,-0.36,0.37,0.86
FC2,1,31,46,0.36,0.37,0.86
FC6,1,69,21,0.87,0.33,0.36
M1,0,0,0,NA,NA,NA
T7,1,-90,0,-1,0,0
C3,1,-45,0,-0.71,0,0.71
Cz,1,0,0,0,0,1
C4,1,45,0,0.71,0,0.71
T8,1,90,0,1,0,0
M2,0,0,0,NA,NA,NA
CP5,1,-69,21,-0.87,-0.33,0.36
CP1,1,-31,46,-0.36,-0.37,0.86
CP2,1,31,-46,0.36,-0.37,0.86
CP6,1,69,-21,0.87,-0.33,0.36
P7,1,-90,36,-0.81,-0.59,0
P3,1,-60,51,-0.55,-0.67,0.5
Pz,1,45,-90,0,-0.71,0.71
P4,1,60,-51,0.55,-0.67,0.5
P8,1,90,-36,0.81,-0.59,0
POz,1,67,-90,0,-0.92,0.39
O1,1,-90,72,-0.31,-0.95,0
Oz,1,90,-90,0,-1,0
O2,1,90,-72,0.31,-0.95,0
HEOG,0,0,0,NA,NA,NA
VEOG,0,0,0,NA,NA,NA
