Fp1 - M1Ref	Fpz - M1Ref	Fp2 - M1Ref	F7 - M1Ref	F3 - M1Ref	Fz - M1Ref	F4 - M1Ref	F8 - M1Ref	FC5 - M1Ref	FC1 - M1Ref	FC2 - M1Ref	FC6 - M1Ref	M1 - M1Ref	T7 - M1Ref	C3 - M1Ref	Cz - M1Ref	C4 - M1Ref	T8 - M1Ref	M2 - M1Ref	CP5 - M1Ref	CP1 - M1Ref	CP2 - M1Ref	CP6 - M1Ref	P7 - M1Ref	P3 - M1Ref	Pz - M1Ref	P4 - M1Ref	P8 - M1Ref	POz - M1Ref	O1 - M1Ref	Oz - M1Ref	O2 - M1Ref	HEOG - M1Ref	VEOG - M1Ref	
-1.470722E+003	4.077063E+001	-3.312738E+003	-6.722483E+003	-1.146262E+004	1.679669E+003	9.144593E+003	-9.911199E+003	-1.227716E+002	5.676515E+003	-2.662872E+001	-1.548015E+003	0.000000E+000	-4.295647E+003	-2.949407E+003	-6.966059E+003	1.002058E+004	1.684101E+003	0.000000E+000	-6.898862E+003	1.948494E+003	3.599033E+003	7.959100E+003	2.534731E+003	3.536747E+003	2.738345E+003	7.386822E+003	-6.478613E+002	-1.350635E+003	-5.218769E+003	3.889062E+003	1.065940E+003	0.000000E+000	0.000000E+000	
-1.479807E+003	3.190665E+001	-3.323993E+003	-6.737618E+003	-1.147291E+004	1.672957E+003	9.133063E+003	-9.924256E+003	-1.361412E+002	5.667430E+003	-3.821442E+001	-1.562543E+003	0.000000E+000	-4.315085E+003	-2.962500E+003	-6.976265E+003	1.000799E+004	1.669371E+003	0.000000E+000	-6.914144E+003	1.937754E+003	3.588533E+003	7.943101E+003	2.535926E+003	3.521593E+003	2.725453E+003	7.370013E+003	-6.453419E+002	-1.366800E+003	-5.232378E+003	4.221627E+003	1.061747E+003	0.000000E+000	0.000000E+000	
-1.478151E+003	3.243996E+001	-3.327468E+003	-6.744477E+003	-1.147547E+004	1.674649E+003	9.128152E+003	-9.933506E+003	-1.430374E+002	5.667780E+003	-4.135911E+001	-1.572658E+003	0.000000E+000	-4.327222E+003	-2.969617E+003	-6.979391E+003	9.999176E+003	1.656075E+003	0.000000E+000	-6.927697E+003	1.930619E+003	3.581434E+003	7.926623E+003	2.519099E+003	3.510762E+003	2.716166E+003	7.355595E+003	-6.783520E+002	-1.380482E+003	-5.247495E+003	4.465533E+003	1.062519E+003	0.000000E+000	0.000000E+000	
-1.468497E+003	4.481643E+001	-3.320260E+003	-6.741719E+003	-1.146640E+004	1.688791E+003	9.134166E+003	-9.930582E+003	-1.413823E+002	5.679623E+003	-3.345141E+001	-1.570782E+003	0.000000E+000	-4.331654E+003	-2.965572E+003	-6.969479E+003	9.999158E+003	1.650889E+003	0.000000E+000	-6.933987E+003	1.931649E+003	3.582390E+003	7.917557E+003	2.478237E+003	3.505484E+003	2.713592E+003	7.345316E+003	-6.928433E+002	-1.389604E+003	-5.267834E+003	4.518203E+003	1.034658E+003	0.000000E+000	0.000000E+000	
-1.461932E+003	5.246667E+001	-3.314614E+003	-6.739586E+003	-1.146006E+004	1.698096E+003	9.137881E+003	-9.929644E+003	-1.384583E+002	5.687089E+003	-3.122622E+001	-1.571039E+003	0.000000E+000	-4.335167E+003	-2.962721E+003	-6.962638E+003	1.000120E+004	1.650944E+003	0.000000E+000	-6.936635E+003	1.934131E+003	3.586565E+003	7.914707E+003	2.480186E+003	3.503148E+003	2.713647E+003	7.341031E+003	-6.861126E+002	-1.393337E+003	-5.283282E+003	4.494185E+003	1.011707E+003	0.000000E+000	0.000000E+000	
-1.460828E+003	5.417694E+001	-3.312830E+003	-6.739218E+003	-1.146024E+004	1.697912E+003	9.137973E+003	-9.930233E+003	-1.395617E+002	5.687806E+003	-3.069291E+001	-1.570230E+003	0.000000E+000	-4.335167E+003	-2.962022E+003	-6.962712E+003	1.000556E+004	1.655394E+003	0.000000E+000	-6.932883E+003	1.936964E+003	3.590445E+003	7.917870E+003	2.492452E+003	3.506348E+003	2.716148E+003	7.344304E+003	-7.036566E+002	-1.392270E+003	-5.285250E+003	4.477781E+003	9.969219E+002	0.000000E+000	0.000000E+000	
-1.463568E+003	4.939554E+001	-3.315441E+003	-6.739825E+003	-1.146199E+004	1.693498E+003	9.137550E+003	-9.929166E+003	-1.379434E+002	5.684993E+003	-3.313878E+001	-1.569145E+003	0.000000E+000	-4.331103E+003	-2.962464E+003	-6.964845E+003	1.000558E+004	1.663688E+003	0.000000E+000	-6.928488E+003	1.937846E+003	3.592303E+003	7.924803E+003	2.514152E+003	3.511276E+003	2.718410E+003	7.350906E+003	-7.355264E+002	-1.384197E+003	-5.275116E+003	4.466802E+003	9.807756E+002	0.000000E+000	0.000000E+000	
-1.470648E+003	4.240734E+001	-3.318384E+003	-6.736864E+003	-1.146420E+004	1.685444E+003	9.135049E+003	-9.924826E+003	-1.368952E+002	5.678520E+003	-3.707424E+001	-1.564603E+003	0.000000E+000	-4.322900E+003	-2.961599E+003	-6.969884E+003	1.000576E+004	1.672092E+003	0.000000E+000	-6.922254E+003	1.938472E+003	3.590592E+003	7.932692E+003	2.523182E+003	3.516407E+003	2.723302E+003	7.360543E+003	-7.897586E+002	-1.375977E+003	-5.255954E+003	4.463161E+003	9.843799E+002	0.000000E+000	0.000000E+000	
-1.477765E+003	3.466515E+001	-3.320002E+003	-6.736882E+003	-1.146911E+004	1.674777E+003	9.131371E+003	-9.921553E+003	-1.343390E+002	5.671016E+003	-4.483482E+001	-1.562635E+003	0.000000E+000	-4.315563E+003	-2.964137E+003	-6.975695E+003	1.000298E+004	1.677462E+003	0.000000E+000	-6.917270E+003	1.934021E+003	3.586749E+003	7.937124E+003	2.513177E+003	3.519184E+003	2.722732E+003	7.366722E+003	-8.077624E+002	-1.370423E+003	-5.233206E+003	4.485818E+003	9.938875E+002	0.000000E+000	0.000000E+000	
-1.484000E+003	2.841255E+001	-3.325574E+003	-6.738574E+003	-1.147398E+004	1.666042E+003	9.127656E+003	-9.923594E+003	-1.359757E+002	5.663624E+003	-5.290803E+001	-1.565118E+003	0.000000E+000	-4.312106E+003	-2.967061E+003	-6.981230E+003	9.999912E+003	1.679467E+003	0.000000E+000	-6.916828E+003	1.930104E+003	3.581692E+003	7.938099E+003	2.504461E+003	3.519349E+003	2.719624E+003	7.369112E+003	-7.648953E+002	-1.367591E+003	-5.212241E+003	4.497569E+003	9.969955E+002	0.000000E+000	0.000000E+000	
