Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG MKR+
-1470.703 40.723 3087.305 -322.461 1337.402 1679.688 2744.629 2888.770 -122.754 -723.438 -26.660 -1548.047 0.000 2104.395 -2949.414 -566.016 -2779.395 1684.082 0.000 -498.828 1948.535 -2800.977 1559.082 2534.766 -2863.281 2738.379 986.816 -647.852 -1350.684 1181.250 -2510.938 1065.918 0.000 0.000 -50.000
-1479.785 31.934 3075.977 -337.598 1327.051 1672.949 2733.105 2875.781 -136.133 -732.617 -38.184 -1562.500 0.000 2084.961 -2962.500 -576.270 -2791.992 1669.336 0.000 -514.160 1937.793 -2811.426 1543.066 2535.938 -2878.418 2725.488 970.020 -645.313 -1366.797 1167.578 -2178.418 1061.719 0.000 0.000 -50.000
-1478.125 32.422 3072.559 -344.434 1324.512 1674.609 2728.125 2866.504 -143.066 -732.227 -41.406 -1572.656 0.000 2072.754 -2969.629 -579.395 -2800.781 1656.055 0.000 -527.734 1930.664 -2818.555 1526.660 2519.141 -2889.258 2716.211 955.566 -678.320 -1380.469 1152.539 -1934.473 1062.500 0.000 0.000 -50.000
-1468.457 44.824 3079.785 -341.699 1333.594 1688.770 2734.180 2869.434 -141.406 -720.410 -33.496 -1570.801 0.000 2068.359 -2965.527 -569.434 -2800.879 1650.879 0.000 -533.984 1931.641 -2817.578 1517.578 2478.223 -2894.531 2713.574 945.313 -692.871 -1389.648 1132.129 -1881.836 1034.668 0.000 0.000 -50.000
-1461.914 52.441 3085.352 -339.551 1339.941 1698.145 2737.891 2870.313 -138.477 -712.891 -31.250 -1570.996 0.000 2064.844 -2962.695 -562.598 -2798.828 1650.977 0.000 -536.621 1934.180 -2813.477 1514.746 2480.176 -2896.875 2713.672 941.016 -686.133 -1393.359 1116.699 -1905.859 1011.719 0.000 0.000 -50.000
-1460.840 54.199 3087.207 -339.258 1339.746 1697.949 2737.988 2869.727 -139.551 -712.207 -30.664 -1570.215 0.000 2064.844 -2962.012 -562.695 -2794.434 1655.371 0.000 -532.910 1937.012 -2809.570 1517.871 2492.480 -2893.652 2716.113 944.336 -703.613 -1392.285 1114.746 -1922.266 996.875 0.000 0.000 -50.000
-1463.574 49.414 3084.570 -339.844 1337.988 1693.457 2737.598 2870.801 -137.988 -715.039 -33.105 -1569.141 0.000 2068.945 -2962.500 -564.844 -2794.434 1663.672 0.000 -528.516 1937.891 -2807.715 1524.805 2514.160 -2888.770 2718.457 950.879 -735.547 -1384.180 1124.902 -1933.203 980.762 0.000 0.000 -50.000
-1470.605 42.383 3081.641 -336.816 1335.840 1685.449 2735.059 2875.195 -136.914 -721.484 -37.109 -1564.648 0.000 2077.051 -2961.621 -569.922 -2794.238 1672.070 0.000 -522.266 1938.477 -2809.375 1532.715 2523.145 -2883.594 2723.340 960.547 -789.746 -1375.977 1144.043 -1936.816 984.375 0.000 0.000 -50.000
-1477.734 34.668 3079.980 -336.914 1330.859 1674.805 2731.348 2878.418 -134.375 -729.004 -44.824 -1562.598 0.000 2084.473 -2964.160 -575.684 -2796.973 1677.441 0.000 -517.285 1933.984 -2813.281 1537.109 2513.184 -2880.859 2722.754 966.699 -807.715 -1370.410 1166.797 -1914.160 993.848 0.000 0.000 -50.000
-1483.984 28.418 3074.414 -338.574 1325.977 1666.016 2727.637 2876.367 -135.938 -736.328 -52.930 -1565.137 0.000 2087.891 -2967.090 -581.250 -2800.098 1679.492 0.000 -516.797 1930.078 -2818.262 1538.086 2504.492 -2880.664 2719.629 969.141 -764.941 -1367.578 1187.793 -1902.441 996.973 0.000 0.000 -50.000
-1489.551 20.703 3068.066 -344.629 1319.727 1657.910 2721.875 2870.801 -142.090 -742.676 -60.254 -1570.996 0.000 2082.910 -2971.582 -587.402 -2803.516 1680.957 0.000 -520.117 1926.563 -2818.848 1535.547 2537.500 -2885.449 2714.648 964.453 -708.008 -1371.680 1191.113 -1887.988 1012.207 0.000 0.000 -50.000
-1491.602 18.262 3065.625 -349.219 1317.383 1659.277 2717.090 2864.648 -146.875 -743.262 -61.230 -1575.586 0.000 2073.926 -2975.879 -589.746 -2804.590 1680.566 0.000 -524.316 1924.707 -2819.824 1530.566 2565.332 -2889.160 2712.012 958.789 -668.457 -1377.344 1189.258 -1875.879 1015.723 0.000 0.000 -50.000
-1484.961 24.805 3068.164 -349.316 1320.801 1666.602 2717.480 2863.672 -148.145 -737.402 -59.668 -1578.516 0.000 2067.188 -2976.074 -584.863 -2807.227 1674.219 0.000 -530.957 1924.316 -2819.922 1521.875 2591.602 -2894.727 2708.691 950.586 -671.094 -1385.645 1177.051 -1865.332 1017.285 0.000 0.000 -50.000
-1475.000 38.965 3077.148 -347.461 1330.859 1681.836 2722.168 2867.285 -145.313 -726.660 -52.930 -1577.930 0.000 2063.379 -2971.484 -573.730 -2807.129 1672.168 0.000 -537.305 1926.270 -2818.457 1512.891 2585.352 -2897.461 2708.203 943.457 -704.004 -1392.480 1159.375 -1866.797 1005.371 0.000 0.000 -50.000
-1465.039 49.023 3083.887 -342.188 1339.063 1693.945 2728.223 2868.945 -140.820 -716.895 -45.801 -1575.684 0.000 2061.816 -2966.992 -567.285 -2804.395 1672.266 0.000 -540.527 1929.883 -2815.234 1509.668 2563.184 -2899.707 2708.594 938.379 -717.480 -1397.852 1142.480 -1876.563 983.594 0.000 0.000 -50.000
