number	type	latency	urevent
1.000000	10.000000	144.000000	1.000000
2.000000	11.000000	426.000000	2.000000
3.000000	12.000000	747.000000	3.000000
4.000000	10.000000	1305.000000	4.000000
5.000000	11.000000	1586.000000	5.000000
6.000000	12.000000	1878.000000	6.000000
7.000000	10.000000	2376.000000	7.000000
8.000000	11.000000	2656.000000	8.000000
9.000000	12.000000	3020.000000	9.000000
10.000000	10.000000	3533.000000	10.000000
11.000000	11.000000	3814.000000	11.000000
12.000000	12.000000	4167.000000	12.000000
