trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,363206,manmade,new,correctreject,subsequent_forgotten
2,1049,365186,manmade,new,correctreject,na
3,1041,366416.5,manmade,new,correctreject,subsequent_remembered
4,1049,367879,manmade,new,correctreject,na
5,1041,369210,manmade,new,correctreject,subsequent_remembered
6,1049,370602.5,manmade,new,correctreject,na
7,2041,372584,natural,new,correctreject,subsequent_remembered
8,1049,373715.5,manmade,new,correctreject,na
9,2041,375184.5,natural,new,correctreject,subsequent_remembered
10,1049,376311,manmade,new,correctreject,na
11,2041,377580.5,natural,new,correctreject,subsequent_remembered
12,2049,379055,natural,new,correctreject,na
13,2040,380847,natural,new,correctreject,subsequent_forgotten
14,2049,382167.5,natural,new,correctreject,na
15,2040,383150.5,natural,new,correctreject,subsequent_forgotten
16,2049,384420,natural,new,correctreject,na
17,2041,385823,natural,new,correctreject,subsequent_remembered
18,2049,387031,natural,new,correctreject,na
19,1041,388214,manmade,new,correctreject,subsequent_remembered
20,1049,389760,manmade,new,correctreject,na
21,2041,391111.5,natural,new,correctreject,subsequent_remembered
22,2049,392575.5,natural,new,correctreject,na
23,2030,394034.5,natural,new,falsealarm,subsequent_forgotten
24,1049,527666.5,manmade,new,correctreject,na
25,2111,528964.5,natural,old,hit,subsequent_remembered
26,1041,530669.5,manmade,new,correctreject,subsequent_remembered
27,1111,532185,manmade,old,hit,subsequent_remembered
28,1049,534012.5,manmade,new,correctreject,na
29,2121,535471.5,natural,old,miss,subsequent_remembered
30,1031,537022.5,manmade,new,falsealarm,subsequent_remembered
31,2111,538717.5,natural,old,hit,subsequent_remembered
32,2039,540781,natural,new,falsealarm,na
33,2111,542475,natural,old,hit,subsequent_remembered
34,1041,544661,manmade,new,correctreject,subsequent_remembered
35,2111,545936,natural,old,hit,subsequent_remembered
36,2049,547251.5,natural,new,correctreject,na
37,2041,548454.5,natural,new,correctreject,subsequent_remembered
38,1049,550118.5,manmade,new,correctreject,na
39,1121,551915.5,manmade,old,miss,subsequent_remembered
40,1111,553159.5,manmade,old,hit,subsequent_remembered
41,2119,554726,natural,old,hit,na
42,2041,556108.5,natural,new,correctreject,subsequent_remembered
43,1119,557644,manmade,old,hit,na
44,2049,559436,natural,new,correctreject,na
45,1041,561459.5,manmade,new,correctreject,subsequent_remembered
