Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG
-1470.722 40.771 -3312.738 -6722.483 -11462.616 1679.669 9144.593 -9911.199 -122.772 5676.515 -26.629 -1548.015 0.000 -4295.646 -2949.407 -6966.059 10020.583 1684.101 0.000 -6898.862 1948.494 3599.033 7959.101 2534.731 3536.747 2738.345 7386.822 -647.861 -1350.635 -5218.770 3889.062 1065.940 0.000 0.000
-1479.807 31.907 -3323.993 -6737.618 -11472.914 1672.957 9133.063 -9924.256 -136.141 5667.430 -38.214 -1562.543 0.000 -4315.085 -2962.500 -6976.265 10007.986 1669.371 0.000 -6914.144 1937.754 3588.533 7943.101 2535.926 3521.593 2725.453 7370.013 -645.342 -1366.800 -5232.378 4221.627 1061.747 0.000 0.000
-1478.151 32.440 -3327.469 -6744.478 -11475.471 1674.649 9128.152 -9933.506 -143.037 5667.780 -41.359 -1572.658 0.000 -4327.222 -2969.617 -6979.392 9999.177 1656.075 0.000 -6927.697 1930.619 3581.434 7926.624 2519.099 3510.761 2716.166 7355.596 -678.352 -1380.482 -5247.495 4465.533 1062.519 0.000 0.000
-1468.497 44.816 -3320.260 -6741.719 -11466.404 1688.791 9134.166 -9930.582 -141.382 5679.623 -33.451 -1570.782 0.000 -4331.654 -2965.572 -6969.479 9999.158 1650.889 0.000 -6933.987 1931.649 3582.390 7917.557 2478.237 3505.483 2713.592 7345.315 -692.843 -1389.604 -5267.834 4518.203 1034.658 0.000 0.000
-1461.932 52.467 -3314.614 -6739.585 -11460.061 1698.096 9137.881 -9929.644 -138.458 5687.089 -31.226 -1571.039 0.000 -4335.167 -2962.721 -6962.638 10001.199 1650.944 0.000 -6936.635 1934.131 3586.565 7914.707 2480.186 3503.148 2713.647 7341.031 -686.113 -1393.337 -5283.282 4494.185 1011.707 0.000 0.000
-1460.828 54.177 -3312.830 -6739.218 -11460.244 1697.912 9137.974 -9930.232 -139.562 5687.806 -30.693 -1570.230 0.000 -4335.167 -2962.022 -6962.712 10005.558 1655.394 0.000 -6932.883 1936.964 3590.445 7917.870 2492.452 3506.348 2716.148 7344.304 -703.657 -1392.270 -5285.250 4477.781 996.922 0.000 0.000
-1463.568 49.396 -3315.441 -6739.825 -11461.991 1693.498 9137.551 -9929.166 -137.943 5684.993 -33.139 -1569.145 0.000 -4331.103 -2962.464 -6964.845 10005.576 1663.688 0.000 -6928.488 1937.846 3592.303 7924.803 2514.152 3511.276 2718.410 7350.906 -735.526 -1384.197 -5275.116 4466.802 980.776 0.000 0.000
-1470.648 42.407 -3318.384 -6736.864 -11464.198 1685.444 9135.049 -9924.826 -136.895 5678.520 -37.074 -1564.603 0.000 -4322.900 -2961.599 -6969.884 10005.760 1672.092 0.000 -6922.254 1938.472 3590.593 7932.692 2523.182 3516.407 2723.302 7360.542 -789.759 -1375.977 -5255.954 4463.161 984.380 0.000 0.000
-1477.765 34.665 -3320.002 -6736.882 -11469.108 1674.777 9131.371 -9921.553 -134.339 5671.017 -44.835 -1562.635 0.000 -4315.563 -2964.137 -6975.695 10002.983 1677.462 0.000 -6917.270 1934.021 3586.749 7937.124 2513.177 3519.184 2722.731 7366.722 -807.762 -1370.423 -5233.206 4485.817 993.888 0.000 0.000
-1484.000 28.413 -3325.574 -6738.574 -11473.980 1666.042 9127.656 -9923.594 -135.976 5663.624 -52.908 -1565.118 0.000 -4312.106 -2967.061 -6981.230 9999.912 1679.467 0.000 -6916.829 1930.104 3581.692 7938.099 2504.460 3519.350 2719.624 7369.112 -764.895 -1367.591 -5212.241 4497.569 996.995 0.000 0.000
