"ISI","ISI_extra","acc","accuracy","average_response_time","avg_rt","background","bidi","blank_dur","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_press","count_after_blank","count_blank","count_blank_1","count_block_loop","count_block_sequence","count_cross","count_cross_1","count_end_of_experiment","count_end_trigger_experiment","count_experiment","count_face","count_face_1","count_final","count_fixation_cross","count_instructions","count_logger","count_practice_loop","count_press","count_press_1","count_reset_feedback","count_settings","count_trial_sequence","count_trigger_experiment","count_trigger_practice","datetime","description","disable_garbage_collection","durface","experiment_file","experiment_path","face","fig","fix_dur","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","postfix_dur","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_press","response_press_1","response_time","response_time_end_of_experiment","response_time_instructions","response_time_press","response_time_press_1","round_decimals","sampler_backend","sorted","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","test_mode","time_after_blank","time_blank","time_blank_1","time_block_loop","time_block_sequence","time_cross","time_cross_1","time_end_of_experiment","time_end_trigger_experiment","time_experiment","time_face","time_face_1","time_final","time_fixation_cross","time_instructions","time_logger","time_practice_loop","time_press","time_press_1","time_reset_feedback","time_settings","time_trial_sequence","time_trigger_experiment","time_trigger_practice","title","total_correct","total_response_time","total_responses","trials_to_pause","trigger_interval","uniform_coordinates","width"
"2232","16","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","0","NA","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f021.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","0","0","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","53464","NA","50964","49853","49853","50250","NA","NA","NA","3310","50767","50767","NA","50250","3365","53464","49845","13918","NA","NA","3310","50218","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2188","319","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","1","NA","1","0","0","1","NA","0","0","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","image3.i.indoor.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","1","1","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","57476","NA","54976","49853","49853","53958","NA","NA","NA","3310","54778","54779","NA","53958","3365","57476","49845","13918","NA","NA","3310","53955","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2033","209","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","2","NA","2","0","0","2","NA","0","0","0","2","2","0","2","0","2","0","0","2","0","0","2","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","064.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","2","2","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","61320","NA","58820","49853","49853","57913","NA","NA","NA","3310","58623","58623","NA","57913","3365","61320","49845","13918","NA","NA","3310","57910","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2381","170","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","3","NA","3","0","0","3","NA","0","0","0","3","3","0","3","0","3","0","0","3","0","0","3","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","037.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","3","3","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","65137","NA","62637","49853","49853","61769","NA","NA","NA","3310","62440","62440","NA","61769","3365","65137","49845","13918","NA","NA","3310","61766","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2451","406","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","4","NA","4","0","0","4","NA","0","0","0","4","4","0","4","0","4","0","0","4","0","0","4","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f085.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","4","4","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","69216","NA","66715","49853","49853","65608","NA","NA","NA","3310","66518","66518","NA","65608","3365","69216","49845","13918","NA","NA","3310","65604","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2359","493","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","5","NA","5","0","0","5","NA","0","0","0","5","5","0","5","0","5","0","0","5","0","0","5","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","049.i.jpg","495","no","Courier New","no","32","no","black","no","yes","768","legacy","5","5","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","73368","NA","70868","49853","49853","69677","NA","NA","NA","3310","70671","70671","NA","69677","3365","73368","49845","13918","NA","NA","3310","69673","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2101","435","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","6","NA","6","0","0","6","NA","0","0","0","6","6","0","6","0","6","0","0","6","0","0","6","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","n","image12.i.fen.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","6","6","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","77464","NA","74964","49853","49853","73831","NA","NA","NA","3310","74767","74767","NA","73831","3365","77465","49845","13918","NA","NA","3310","73828","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2086","194","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","7","NA","7","0","0","7","NA","0","0","0","7","7","0","7","0","7","0","0","7","0","0","7","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","m068.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","7","7","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","81303","NA","78803","49853","49853","77911","NA","NA","NA","3310","78606","78606","NA","77911","3365","81303","49845","13918","NA","NA","3310","77908","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2017","238","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","8","NA","8","0","0","8","NA","0","0","0","8","8","0","8","0","8","0","0","8","0","0","8","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f041.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","8","8","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","85202","NA","82702","49853","49853","81766","NA","NA","NA","3310","82505","82505","NA","81765","3365","85202","49845","13918","NA","NA","3310","81762","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
"2444","96","undefined","undefined","undefined","undefined","#e6e6e6","yes","2500","xpyriment","legacy","legacy","0","uniform","undefined","undefined","undefined","9","NA","9","0","0","9","NA","0","0","0","9","9","0","9","0","9","0","0","9","0","0","9","0","0","Fr 01 Jun 2018 12:13:55 CEST","A template containing a practice and an experimental phase","yes","195","faces.osexp","/home/vlab-eeg2-linux/Desktop/countface","y","f081.gif","495","no","Courier New","no","32","no","black","no","yes","768","legacy","9","9","0","/home/vlab-eeg2-linux/Desktop/countface/subject-0-marie-faces-asaold.csv","xpyriment","Kafkaesque Koffka","3.2.2b1","495","yes","0","return","NA","return","return","NA","35881","NA","10549","35881","NA","2","legacy","","1024","2","48000","-16","experiment","0","even","no","88958","NA","86458","49853","49853","85662","NA","NA","NA","3310","86261","86261","NA","85662","3365","88958","49845","13918","NA","NA","3310","85658","NA","49799","Ingwer","0","0","0","42","45","yes","1024"
